Numer,Channel,Image URL,Watch time (hours),Stream time (hours),Peak viewers,Average viewers,Followers,Followers gained,Top Games
20,BlackFIreIce,https://static-cdn.jtvnw.net/jtv_user_pictures/73e0937c-029b-446b-80ff-2eb07929828e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"217,518(148.7%)",223(111.6%),"1,975(-26.9%)",972(17.7%),"124,666",361,Teamfight Tactics
21,Testree,https://static-cdn.jtvnw.net/jtv_user_pictures/1debff12-0774-4df1-8d33-7147f2e21970-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"207,328(-11.8%)",130(-17.4%),"2,741(2.3%)","1,585(6.7%)","113,634","1,006","Grand Theft Auto V, Spectre Divide"
22,Kubon_,https://static-cdn.jtvnw.net/jtv_user_pictures/fa0ffb49-871d-4700-ae2c-67364d564f5d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"203,209(31.6%)",282(27.2%),"3,192(23.1%)",720(3.4%),"341,804",591,"Teamfight Tactics, League of Legends"
23,Kasix,https://static-cdn.jtvnw.net/jtv_user_pictures/882fd15c-f59b-4b81-be59-5bfe0422b89f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"179,059(34.7%)",98(27.7%),"3,736(0.6%)","1,827(5.5%)","689,406","14,936","Just Chatting, The Witcher 3: Wild Hunt"
24,Bonkol,https://static-cdn.jtvnw.net/jtv_user_pictures/b84ee5dd-cb4e-4c55-8f50-22d14cbb61cc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"149,684(9.0%)",193(-3.6%),"2,706(126.4%)",774(13.2%),"200,377","5,570","IRL, Hearthstone"
25,tamae_,https://static-cdn.jtvnw.net/jtv_user_pictures/f3806107-add8-426d-b4fb-d41102041283-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"135,783(15.9%)",257(10.4%),"1,510(80.4%)",528(5.0%),"64,473","2,100","ELDEN RING, Just Chatting"
26,Patiro,https://static-cdn.jtvnw.net/jtv_user_pictures/1f105dc7-7b19-4fd0-a062-f588a4b5a8c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"134,297(-16.7%)",163(7.4%),"3,236(-10.5%)",820(-22.4%),"55,588","5,742","IRL, Just Chatting"
27,qlnek,https://static-cdn.jtvnw.net/jtv_user_pictures/0e97a63f-d5d9-4828-9efe-cef3009819f6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"128,398(-25.3%)",90(8.7%),"3,990(-49.1%)","1,422(-31.3%)","206,082",863,"Fortnite, Brain Show"
28,czesio_invi,https://static-cdn.jtvnw.net/jtv_user_pictures/1a60e6f6-4c77-4bb8-9014-f98bdaa07ceb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"123,131(28.7%)",238(4.7%),929(5.9%),517(23.1%),"122,053","20,419","Grand Theft Auto V, Tom Clancy's Rainbow Six Siege"
29,Kezman22,https://static-cdn.jtvnw.net/jtv_user_pictures/fb527ccc-c1d6-4dfc-b065-e605c956409f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"123,126(261.0%)",264(92.5%),"1,175(120.0%)",465(87.5%),"26,043","1,190","Teamfight Tactics, Call of Dragons"
30,Sabalcio,https://static-cdn.jtvnw.net/jtv_user_pictures/a45c47ab-8431-49d3-94ef-824e6bedfb94-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"114,430(1,545.4%)",301(181.4%),"2,453(1,233.2%)",379(492.2%),"12,713","2,663",Metin2
31,cyganzor,https://static-cdn.jtvnw.net/jtv_user_pictures/73be9f00-46fa-4aa9-91f5-9653fb55de78-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"111,530(9.8%)",214(-5.7%),"2,320(64.8%)",520(16.3%),"69,382",545,"World of Tanks, Lineage II"
32,xth0rek,https://static-cdn.jtvnw.net/jtv_user_pictures/d28f1eee-596c-4f89-88c4-5ae2b787e5b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"109,586(25.1%)",88(28.4%),"3,995(27.0%)","1,241(-2.6%)","274,284",221,"Just Chatting, IRL"
33,N3utr4LSF,https://static-cdn.jtvnw.net/jtv_user_pictures/f881bb44-ef06-4291-a3b4-1accc4f9e173-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"108,254(54.2%)",137(89.7%),"2,781(9.3%)",787(-18.7%),"30,244",618,Shakes and Fidget
34,parisplatynov,https://static-cdn.jtvnw.net/jtv_user_pictures/9bc19a47-7659-4e63-8056-fe0980a631b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"105,337(55.8%)",47(49.2%),"3,817(27.8%)","2,206(4.5%)","537,759",960,"Grand Theft Auto V, Just Chatting"
35,tuszol,https://static-cdn.jtvnw.net/jtv_user_pictures/c64b5f3f-095b-43f9-92e6-0de1b928baff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"103,614(-40.3%)",71(-18.4%),"5,516(-58.3%)","1,459(-26.8%)","252,407","7,538","Just Chatting, Counter-Strike"
36,NewMultiShow,https://static-cdn.jtvnw.net/jtv_user_pictures/newmultishow-profile_image-f117a96ad88bf5f2-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,"103,006(4.9%)",165(13.0%),"2,989(-17.6%)",624(-7.1%),"118,687","1,074",World of Tanks
37,Angela35,https://static-cdn.jtvnw.net/jtv_user_pictures/0d9ac3ac-d5e4-491b-932d-7e60e7263c3b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"102,487(211.7%)",151(38.8%),"4,371(199.4%)",677(124.9%),"131,568",366,"Just Chatting, Among Us"
38,dmajszi,https://static-cdn.jtvnw.net/jtv_user_pictures/4d242777-3a85-4c3a-b546-80af17cce5a9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"101,242(351.7%)",215(41.9%),"4,290(20.3%)",470(219.7%),"82,857","25,521","Just Chatting, Counter-Strike"
39,Diables,https://static-cdn.jtvnw.net/jtv_user_pictures/21225f7a-c222-4fd9-8c46-1d252955e0e7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"97,885(20.4%)",121(9.0%),"2,119(-3.5%)",807(10.5%),"254,780","4,664","Just Chatting, Black Myth: Wukong"
40,szelioficjalnie,https://static-cdn.jtvnw.net/jtv_user_pictures/f5d2d31f-bff1-49a8-b2f4-da7877975b75-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"96,541(-1.7%)",185(-20.0%),"3,494(0.5%)",520(22.9%),"120,594","7,284","Counter-Strike, IRL"
41,MokrySuchar,https://static-cdn.jtvnw.net/jtv_user_pictures/mokrysuchar-profile_image-96ef4945afd7488c-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"95,479(15.3%)",36(-36.4%),"7,962(41.1%)","2,633(81.2%)","222,382","2,344","Just Chatting, IRL"
42,revo_toja,https://static-cdn.jtvnw.net/jtv_user_pictures/1522f381-5c2b-4fec-ac3a-176366747921-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"95,344(-6.0%)",50(-18.5%),"3,336(10.6%)","1,888(15.5%)","102,780","1,142",Just Chatting
43,GALINEOS,https://static-cdn.jtvnw.net/jtv_user_pictures/ad22acab-cca2-40bb-b2cf-9991a9b37c2a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"93,407(2.6%)",58(-0.4%),"2,779(-13.9%)","1,610(3.1%)","25,286",460,Slots
44,pisicela,https://static-cdn.jtvnw.net/jtv_user_pictures/9dcbc3f7-0e21-4bd9-8669-5b338f9034c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"93,214(-15.9%)",181(7.7%),"2,724(117.9%)",513(-21.9%),"227,533",244,"Just Chatting, Grand Theft Auto V"
45,PiotrMaciejczak,https://static-cdn.jtvnw.net/jtv_user_pictures/fa849df2-e112-4f84-83a0-374b8fd8d09c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"92,305(-5.9%)",215(43.2%),"1,169(-51.3%)",428(-34.4%),"30,140","1,122",Path of Exile
46,Mamm0n,https://static-cdn.jtvnw.net/jtv_user_pictures/3afb39c8-302a-4e1d-a39d-e26eeedac92c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"90,956(-18.6%)",331(2.3%),"1,015(-24.8%)",274(-20.6%),"188,886","1,726","Dark and Darker, Escape from Tarkov"
47,delordione,https://static-cdn.jtvnw.net/jtv_user_pictures/delordione-profile_image-5fe2b843e7ca4937-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,"90,172(-36.4%)",136(-34.3%),"1,745(5.4%)",660(-3.2%),"139,371",227,"Just Chatting, Teamfight Tactics"
48,pyka97,https://static-cdn.jtvnw.net/jtv_user_pictures/144e03e6-4dbd-4b15-a908-55e59a011581-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,"86,250(105.6%)",136(18.9%),"11,098(356.5%)",630(73.1%),"80,258","11,460","Just Chatting, Black Myth: Wukong"
49,Spartiatix,https://static-cdn.jtvnw.net/jtv_user_pictures/cbfc21cc8f2e0750-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"83,811(-6.8%)",240(-16.6%),982(33.2%),349(11.9%),"98,447",508,"Just Chatting, The Witcher"
50,Navcia,https://static-cdn.jtvnw.net/jtv_user_pictures/b53aabbb-c25c-4741-8a0c-421d5a4ed27e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"83,479(-1.8%)",120(-19.5%),"2,740(9.8%)",692(22.0%),"345,573","10,552","Just Chatting, IRL"
