Streamer,stat,Emote 1 Name,Emote 1 Stats,Emote 1 ImageURL,Emote 2 Name,Emote 2 Stats,Emote 2 ImageURL,Emote 3 Name,Emote 3 Stats,Emote 3 ImageURL,Emote 4 Name,Emote 4 Stats,Emote 4 ImageURL,Emote 5 Name,Emote 5 Stats,Emote 5 ImageURL,Emote 6 Name,Emote 6 Stats,Emote 6 ImageURL,Emote 7 Name,Emote 7 Stats,Emote 7 ImageURL,Command 1 Name,Command 1 Stats,Command 2 Name,Command 2 Stats,Command 3 Name,Command 3 Stats,Command 4 Name,Command 4 Stats,Command 5 Name,Command 5 Stats,Command 6 Name,Command 6 Stats,Command 7 Name,Command 7 Stats
NEEXcsgo,Top Twitch Emotes,<3,74 021,https://static-cdn.jtvnw.net/emoticons/v1/555555584/1.0,:D,32 440,https://static-cdn.jtvnw.net/emoticons/v1/555555560/1.0,Kappa,27 278,https://static-cdn.jtvnw.net/emoticons/v1/25/1.0,neexSwiry,26 985,https://static-cdn.jtvnw.net/emoticons/v1/emotesv2_5fd05b052dcd4773bf9e1788ce23b83d/1.0,PogChamp,23 008,https://static-cdn.jtvnw.net/emoticons/v1/305954156/1.0,MrDestructoid,22 715,https://static-cdn.jtvnw.net/emoticons/v1/28/1.0,neexPUDZIAK,21 897,https://static-cdn.jtvnw.net/emoticons/v1/307136089/1.0,
NEEXcsgo,Top 7TV Emotes,xdd,875 004,https://cdn.7tv.app/emote/613937fcf7977b64f644c0d2/1x.webp,FIRE,782 934,https://cdn.7tv.app/emote/60c26d9b1142dcb0206e96af/1x.webp,Disco,564 553,https://cdn.7tv.app/emote/60f305dd31ba6ae622061195/1x.webp,kosa,401 866,https://cdn.7tv.app/emote/63e0095f90e9cc0a8488cbe1/1x.webp,xd,348 888,https://cdn.7tv.app/emote/60773136a807bed006130b28/1x.webp,wesele5,304 326,https://cdn.7tv.app/emote/659c4dd055fdc99dc17efb5b/1x.webp,neexPaluszek,213 008,https://cdn.7tv.app/emote/64b40f94b230f419266fc8fd/1x.webp,
NEEXcsgo,Top BTTV Emotes,catJAM,55 028,https://cdn.betterttv.net/emote/5f1b0186cf6d2144653d2970/1x,catRave,28 361,https://cdn.betterttv.net/emote/619c130bb50549e7e5007799/1x,CATJAM,22 665,https://cdn.betterttv.net/emote/60c5d2fdf8b3f62601c3d25b/1x,D:,21 626,https://cdn.betterttv.net/emote/55028cd2135896936880fdd7/1x,FeelsGoodMan,10 683,https://cdn.betterttv.net/emote/566c9fde65dbbdab32ec053e/1x,glizzyL,9924,https://cdn.betterttv.net/emote/60ab283f67644f1d67e8bdb2/1x,EZ,8666,https://cdn.betterttv.net/emote/5590b223b344e2c42a9e28e3/1x,
NEEXcsgo,Top FFZ Emotes,PeepoGlad,7506,https://cdn.frankerfacez.com/emoticon/244322/1,KEKW,7145,https://cdn.frankerfacez.com/emoticon/381875/1,Sadge,4297,https://cdn.frankerfacez.com/emoticon/425196/1,Pog,2975,https://cdn.frankerfacez.com/emoticon/210748/1,peepoLove,2945,https://cdn.frankerfacez.com/emoticon/250614/1,2Head,2520,https://cdn.frankerfacez.com/emoticon/294078/1,KEKM,1087,https://cdn.frankerfacez.com/emoticon/542024/1,
NEEXcsgo,Top Commands,!ticket,93 550,!dziwkarz,36 263,!watchtime,30 698,!wt,28 631,!followage,26 695,!kogut,26 366,!gamble,23 962
RybsonLoL_,Top Twitch Emotes,StinkyCheese,201 736,https://static-cdn.jtvnw.net/emoticons/v1/90076/1.0,BibleThump,106 624,https://static-cdn.jtvnw.net/emoticons/v1/86/1.0,<3,101 026,https://static-cdn.jtvnw.net/emoticons/v1/555555584/1.0,BloodTrail,93 153,https://static-cdn.jtvnw.net/emoticons/v1/69/1.0,FUNgineer,75 836,https://static-cdn.jtvnw.net/emoticons/v1/244/1.0,PogChamp,75 824,https://static-cdn.jtvnw.net/emoticons/v1/305954156/1.0,Kappa,69 029,https://static-cdn.jtvnw.net/emoticons/v1/25/1.0,
RybsonLoL_,Top 7TV Emotes,xd,364 752,https://cdn.7tv.app/emote/60773136a807bed006130b28/1x.webp,xdd,295 153,https://cdn.7tv.app/emote/613937fcf7977b64f644c0d2/1x.webp,sigma,199 578,https://cdn.7tv.app/emote/638b82ae05b9c52431a224f6/1x.webp,FIRE,194 495,https://cdn.7tv.app/emote/60c26d9b1142dcb0206e96af/1x.webp,NOWAY,95 007,https://cdn.7tv.app/emote/6345e54ddf8d9e6ac32ade37/1x.webp,sad,78 178,https://cdn.7tv.app/emote/62addd5dc498e86eaf5e9078/1x.webp,xD,78 062,https://cdn.7tv.app/emote/60afba2852a13d1adb2cb7b1/1x.webp,
RybsonLoL_,Top BTTV Emotes,POLICE,576 034,https://cdn.betterttv.net/emote/5e15e00c0550d42106b90042/1x,FIRE,415 387,https://cdn.betterttv.net/emote/6087488d39b5010444d06dff/1x,catJAM,241 525,https://cdn.betterttv.net/emote/5f74dcd9ce8bc74a942407aa/1x,EZ,206 048,https://cdn.betterttv.net/emote/5590b223b344e2c42a9e28e3/1x,BRUHBRUH,149 421,https://cdn.betterttv.net/emote/5e17ca773267f72103fdafa2/1x,VisLaud,131 278,https://cdn.betterttv.net/emote/550352766f86a5b26c281ba2/1x,D:,131 017,https://cdn.betterttv.net/emote/55028cd2135896936880fdd7/1x,
RybsonLoL_,Top FFZ Emotes,PogU,129 921,https://cdn.frankerfacez.com/emoticon/422810/1,2Head,20 318,https://cdn.frankerfacez.com/emoticon/294078/1,Pog,16 795,https://cdn.frankerfacez.com/emoticon/210748/1,POGGERS,14 508,https://cdn.frankerfacez.com/emoticon/214129/1,PeepoGlad,13 887,https://cdn.frankerfacez.com/emoticon/244322/1,monkaW,11 960,https://cdn.frankerfacez.com/emoticon/214681/1,5Head,11 669,https://cdn.frankerfacez.com/emoticon/239504/1,
RybsonLoL_,Top Commands,!rank,72 496,!opgg,54 690,!watchtime,37 640,!giveaway,28 736,!ticket,25 774,!cola,20 372,!discord,19 686
